id,mName,GraphicType,sndfile,TransFile,width,mImage,has_special,snd_special,has_trans,Frames0,Frames1,Frames2,Frames3,Frames4,Frames5,Rate0,Rate1,Rate2,Rate3,Rate4,Rate5,mMinDLvl,mMaxDLvl,mLevel,mMinHP,mMaxHP,mAi,mFlags,mInt,mHit,mAFNum,mMinDamage,mMaxDamage,mHit2,mAFNum2,mMinDamage2,mMaxDamage2,mArmorClass,mMonstClass,mMagicRes,mMagicRes2,mSelFlag,mTreasure,mExp,Version
MT_RSKELAX,Burning Dead,Monsters\SkelAxe\SklAx%c,Monsters\SkelAxe\SklAx%c%i.WAV,nullptr,128,553,TRUE,FALSE,FALSE,12,8,13,6,17,16,2,1,1,1,1,1,2,6,4,8,12,AI_SKELSD,0,2,30,8,3,7,0,0,0,0,5,MC_UNDEAD,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_NULL_40,3,0,154,MAT_ALWAYS
MT_XSKELAX,Horror,Monsters\SkelAxe\SklAx%c,Monsters\SkelAxe\SklAx%c%i.WAV,Monsters\SkelAxe\Black.TRN,128,553,TRUE,FALSE,TRUE,12,8,13,6,17,16,3,1,1,1,1,1,4,8,6,12,20,AI_SKELSD,0,3,35,8,4,9,0,0,0,0,15,MC_UNDEAD,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,264,MAT_ALWAYS
MT_RFALLSD,Fallen One,Monsters\FalSword\Fall%c,Monsters\FalSword\Fall%c%i.WAV,Monsters\FalSword\FallenT.TRN,128,623,TRUE,TRUE,TRUE,12,12,13,11,14,15,3,1,1,1,1,1,1,3,1,2,5,AI_FALLEN,0,0,15,8,1,4,0,5,0,0,10,MC_ANIMAL,0,0,3,0,52,MAT_ALWAYS
MT_DFALLSD,Carver,Monsters\FalSword\Fall%c,Monsters\FalSword\Fall%c%i.WAV,Monsters\FalSword\Dark.TRN,128,623,TRUE,TRUE,TRUE,12,12,13,11,14,15,3,1,1,1,1,1,2,5,3,5,9,AI_FALLEN,0,1,20,8,2,7,0,5,0,0,15,MC_ANIMAL,0,0,3,0,90,MAT_ALWAYS
MT_YFALLSD,Devil Kin,Monsters\FalSword\Fall%c,Monsters\FalSword\Fall%c%i.WAV,nullptr,128,623,TRUE,TRUE,FALSE,12,12,13,11,14,15,3,1,1,1,1,1,3,7,5,16,24,AI_FALLEN,0,2,25,8,4,10,0,5,0,0,20,MC_ANIMAL,0,RESIST_FIRE,3,0,180,MAT_ALWAYS
MT_BFALLSD,Dark One,Monsters\FalSword\Fall%c,Monsters\FalSword\Fall%c%i.WAV,Monsters\FalSword\Blue.TRN,128,623,TRUE,TRUE,TRUE,12,12,13,11,14,15,3,1,1,1,1,1,5,9,7,24,36,AI_FALLEN,0,3,30,8,4,12,0,5,0,0,25,MC_ANIMAL,IMMUNE_NULL_40,RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,280,MAT_ALWAYS
MT_NSCAV,Scavenger,Monsters\Scav\Scav%c,Monsters\Scav\Scav%c%i.WAV,nullptr,128,410,TRUE,FALSE,FALSE,12,8,12,6,20,11,2,1,1,1,1,1,1,4,2,3,6,AI_SCAV,0,0,20,7,1,5,0,0,0,0,10,MC_ANIMAL,0,RESIST_FIRE,3,0,80,MAT_ALWAYS
MT_BSCAV,Plague Eater,Monsters\Scav\Scav%c,Monsters\Scav\Scav%c%i.WAV,Monsters\Scav\ScavBr.TRN,128,410,TRUE,FALSE,TRUE,12,8,12,6,20,11,2,1,1,1,1,1,3,6,4,12,24,AI_SCAV,0,1,30,7,1,8,0,0,0,0,20,MC_ANIMAL,0,RESIST_LIGHTNING,3,0,188,MAT_ALWAYS
MT_WSCAV,Shadow Beast,Monsters\Scav\Scav%c,Monsters\Scav\Scav%c%i.WAV,Monsters\Scav\ScavBe.TRN,128,410,TRUE,FALSE,TRUE,12,8,12,6,20,11,2,1,1,1,1,1,4,8,6,24,36,AI_SCAV,0,2,35,7,3,12,0,0,0,0,25,MC_ANIMAL,IMMUNE_NULL_40,RESIST_FIRE|IMMUNE_NULL_40,3,0,375,MAT_ALWAYS
MT_YSCAV,Bone Gasher,Monsters\Scav\Scav%c,Monsters\Scav\Scav%c%i.WAV,Monsters\Scav\ScavW.TRN,128,410,TRUE,FALSE,TRUE,12,8,12,6,20,11,2,1,1,1,1,1,6,10,8,28,40,AI_SCAV,0,3,35,7,5,15,0,0,0,0,30,MC_ANIMAL,RESIST_MAGIC|IMMUNE_NULL_40,RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,552,MAT_ALWAYS
MT_WSKELBW,Skeleton,Monsters\SkelBow\SklBw%c,Monsters\SkelBow\SklBw%c%i.WAV,Monsters\SkelBow\White.TRN,128,567,TRUE,FALSE,TRUE,9,8,16,5,16,16,4,1,1,1,1,1,2,5,3,2,4,AI_SKELBOW,0,0,15,12,1,2,0,0,0,0,0,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,110,MAT_ALWAYS
MT_TSKELBW,Corpse Bow,Monsters\SkelBow\SklBw%c,Monsters\SkelBow\SklBw%c%i.WAV,Monsters\SkelBow\Skelt.TRN,128,567,TRUE,FALSE,TRUE,9,8,16,5,16,16,4,1,1,1,1,1,3,7,5,8,16,AI_SKELBOW,0,1,25,12,1,4,0,0,0,0,0,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,210,MAT_ALWAYS
MT_RSKELBW,Burning Dead,Monsters\SkelBow\SklBw%c,Monsters\SkelBow\SklBw%c%i.WAV,nullptr,128,567,TRUE,FALSE,FALSE,9,8,16,5,16,16,2,1,1,1,1,1,5,9,7,10,24,AI_SKELBOW,0,2,30,12,1,6,0,0,0,0,5,MC_UNDEAD,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_NULL_40,3,0,364,MAT_ALWAYS
MT_XSKELBW,Horror,Monsters\SkelBow\SklBw%c,Monsters\SkelBow\SklBw%c%i.WAV,Monsters\SkelBow\Black.TRN,128,567,TRUE,FALSE,TRUE,9,8,16,5,16,16,3,1,1,1,1,1,7,11,9,15,45,AI_SKELBOW,0,3,35,12,2,9,0,0,0,0,15,MC_UNDEAD,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,594,MAT_ALWAYS
MT_WSKELSD,Skeleton Captain,Monsters\SkelSd\SklSr%c,Monsters\SkelSd\SklSr%c%i.WAV,Monsters\SkelSd\White.TRN,128,575,TRUE,TRUE,TRUE,13,8,12,7,15,16,4,1,1,1,1,1,1,4,2,3,6,AI_SKELSD,0,0,20,8,2,7,0,0,0,0,10,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,90,MAT_ALWAYS
MT_TSKELSD,Corpse Captain,Monsters\SkelSd\SklSr%c,Monsters\SkelSd\SklSr%c%i.WAV,Monsters\SkelSd\Skelt.TRN,128,575,TRUE,FALSE,TRUE,13,8,12,7,15,16,4,1,1,1,1,1,2,6,4,12,20,AI_SKELSD,0,1,30,8,3,9,0,0,0,0,5,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,200,MAT_ALWAYS
MT_RSKELSD,Burning Dead Captain,Monsters\SkelSd\SklSr%c,Monsters\SkelSd\SklSr%c%i.WAV,nullptr,128,575,TRUE,FALSE,FALSE,13,8,12,7,15,16,4,1,1,1,1,1,4,8,6,16,30,AI_SKELSD,0,2,35,8,4,10,0,0,0,0,15,MC_UNDEAD,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_NULL_40,3,0,393,MAT_ALWAYS
MT_XSKELSD,Horror Captain,Monsters\SkelSd\SklSr%c,Monsters\SkelSd\SklSr%c%i.WAV,Monsters\SkelSd\Black.TRN,128,575,TRUE,FALSE,TRUE,13,8,12,7,15,16,4,1,1,1,1,1,6,10,8,35,50,AI_SKELSD,MFLAG_SEARCH,3,40,8,5,14,0,0,0,0,30,MC_UNDEAD,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,604,MAT_ALWAYS
MT_INVILORD,Invisible Lord,Monsters\TSneak\TSneak%c,Monsters\TSneak\Sneakl%c%i.WAV,nullptr,128,800,FALSE,FALSE,FALSE,13,13,15,11,16,0,2,1,1,1,1,1,36,39,14,278,278,AI_SKELSD,MFLAG_SEARCH|MFLAG_CAOPEDOOR,3,65,8,16,30,0,0,0,0,60,MC_DEMON,RESIST_MAGIC|RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,RESIST_MAGIC|RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,2000,MAT_NEVER
MT_SNEAK,Hidden,Monsters\Sneak\Sneak%c,Monsters\Sneak\Sneak%c%i.WAV,nullptr,128,992,TRUE,FALSE,FALSE,16,8,12,8,24,15,2,1,1,1,1,1,3,8,5,8,24,AI_SNEAK,MFLAG_HIDDEN,0,35,8,3,6,0,0,0,0,25,MC_DEMON,0,IMMUNE_NULL_40,3,0,278,MAT_RETAIL
MT_STALKER,Stalker,Monsters\Sneak\Sneak%c,Monsters\Sneak\Sneak%c%i.WAV,Monsters\Sneak\Sneakv2.TRN,128,992,TRUE,FALSE,TRUE,16,8,12,8,24,15,2,1,1,1,1,1,8,12,9,30,45,AI_SNEAK,MFLAG_HIDDEN|MFLAG_SEARCH,1,40,8,8,16,0,0,0,0,30,MC_DEMON,0,IMMUNE_NULL_40,3,0,630,MAT_RETAIL
MT_UNSEEN,Unseen,Monsters\Sneak\Sneak%c,Monsters\Sneak\Sneak%c%i.WAV,Monsters\Sneak\Sneakv3.TRN,128,992,TRUE,FALSE,TRUE,16,8,12,8,24,15,2,1,1,1,1,1,10,14,11,35,50,AI_SNEAK,MFLAG_HIDDEN|MFLAG_SEARCH,2,45,8,12,20,0,0,0,0,30,MC_DEMON,RESIST_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,935,MAT_RETAIL
MT_ILLWEAV,Illusion Weaver,Monsters\Sneak\Sneak%c,Monsters\Sneak\Sneak%c%i.WAV,Monsters\Sneak\Sneakv1.TRN,128,992,TRUE,FALSE,TRUE,16,8,12,8,24,15,2,1,1,1,1,1,14,18,13,40,60,AI_SNEAK,MFLAG_HIDDEN|MFLAG_SEARCH,3,60,8,16,24,0,0,0,0,30,MC_DEMON,RESIST_MAGIC|RESIST_FIRE,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,3,0,1500,MAT_RETAIL
MT_LRDSAYTR,Satyr Lord,Monsters\GoatLord\GoatL%c,Monsters\newsfx\Satyr%c%i.WAV,nullptr,160,800,FALSE,FALSE,FALSE,13,13,14,9,16,0,2,1,1,1,1,1,40,43,28,160,200,AI_SKELSD,MFLAG_SEARCH,3,90,8,20,30,0,0,0,0,70,MC_ANIMAL,RESIST_FIRE|RESIST_LIGHTNING,RESIST_MAGIC|IMMUNE_FIRE|IMMUNE_LIGHTNING,3,0,2800,MAT_RETAIL
MT_NGOATMC,Flesh Clan,Monsters\GoatMace\Goat%c,Monsters\GoatMace\Goat%c%i.WAV,nullptr,128,1030,TRUE,FALSE,FALSE,12,8,12,6,20,12,2,1,1,1,1,1,6,10,8,30,45,AI_GOATMC,MFLAG_SEARCH|MFLAG_CAOPEDOOR,0,50,8,4,10,0,0,0,0,40,MC_DEMON,0,0,3,0,460,MAT_RETAIL
MT_BGOATMC,Stone Clan,Monsters\GoatMace\Goat%c,Monsters\GoatMace\Goat%c%i.WAV,Monsters\GoatMace\Beige.TRN,128,1030,TRUE,FALSE,TRUE,12,8,12,6,20,12,2,1,1,1,1,1,8,12,10,40,55,AI_GOATMC,MFLAG_SEARCH|MFLAG_CAOPEDOOR,1,60,8,6,12,0,0,0,0,40,MC_DEMON,RESIST_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,685,MAT_RETAIL
MT_RGOATMC,Fire Clan,Monsters\GoatMace\Goat%c,Monsters\GoatMace\Goat%c%i.WAV,Monsters\GoatMace\Red.TRN,128,1030,TRUE,FALSE,TRUE,12,8,12,6,20,12,2,1,1,1,1,1,10,14,12,50,65,AI_GOATMC,MFLAG_SEARCH|MFLAG_CAOPEDOOR,2,70,8,8,16,0,0,0,0,45,MC_DEMON,RESIST_FIRE,IMMUNE_FIRE,3,0,906,MAT_RETAIL
MT_GGOATMC,Night Clan,Monsters\GoatMace\Goat%c,Monsters\GoatMace\Goat%c%i.WAV,Monsters\GoatMace\Gray.TRN,128,1030,TRUE,FALSE,TRUE,12,8,12,6,20,12,2,1,1,1,1,1,12,16,14,55,70,AI_GOATMC,MFLAG_SEARCH|MFLAG_CAOPEDOOR,3,80,8,10,20,15,0,30,30,50,MC_DEMON,RESIST_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,1190,MAT_RETAIL
MT_FIEND,Fiend,Monsters\Bat\Bat%c,Monsters\Bat\Bat%c%i.WAV,Monsters\Bat\red.trn,96,364,FALSE,FALSE,TRUE,9,13,10,9,13,0,1,1,1,1,1,1,2,5,3,3,6,AI_BAT,0,0,35,5,1,6,0,0,0,0,0,MC_ANIMAL,0,0,6,T_NODROP,102,MAT_ALWAYS
MT_BLINK,Blink,Monsters\Bat\Bat%c,Monsters\Bat\Bat%c%i.WAV,nullptr,96,364,FALSE,FALSE,FALSE,9,13,10,9,13,0,1,1,1,1,1,1,5,9,7,12,28,AI_BAT,0,1,45,5,1,8,0,0,0,0,15,MC_ANIMAL,0,0,6,T_NODROP,340,MAT_ALWAYS
MT_GLOOM,Gloom,Monsters\Bat\Bat%c,Monsters\Bat\Bat%c%i.WAV,Monsters\Bat\grey.trn,96,364,FALSE,FALSE,TRUE,9,13,10,9,13,0,1,1,1,1,1,1,7,11,9,28,36,AI_BAT,MFLAG_SEARCH,2,70,5,4,12,0,0,0,0,35,MC_ANIMAL,RESIST_MAGIC,RESIST_MAGIC|IMMUNE_NULL_40,6,T_NODROP,509,MAT_ALWAYS
MT_FAMILIAR,Familiar,Monsters\Bat\Bat%c,Monsters\Bat\Bat%c%i.WAV,Monsters\Bat\orange.trn,96,364,FALSE,FALSE,TRUE,9,13,10,9,13,0,1,1,1,1,1,1,11,15,13,20,35,AI_BAT,MFLAG_SEARCH,3,50,5,4,16,0,0,0,0,35,MC_DEMON,RESIST_MAGIC|IMMUNE_LIGHTNING,RESIST_MAGIC|IMMUNE_LIGHTNING|IMMUNE_NULL_40,6,T_NODROP,448,MAT_ALWAYS
MT_NGOATBW,Flesh Clan,Monsters\GoatBow\GoatB%c,Monsters\GoatBow\GoatB%c%i.WAV,nullptr,128,1040,FALSE,FALSE,FALSE,12,8,16,6,20,0,3,1,1,1,1,1,6,10,8,20,35,AI_GOATBOW,MFLAG_CAOPEDOOR,0,35,13,1,7,0,0,0,0,35,MC_DEMON,0,0,3,0,448,MAT_RETAIL
MT_BGOATBW,Stone Clan,Monsters\GoatBow\GoatB%c,Monsters\GoatBow\GoatB%c%i.WAV,Monsters\GoatBow\Beige.TRN,128,1040,FALSE,FALSE,TRUE,12,8,16,6,20,0,3,1,1,1,1,1,8,12,10,30,40,AI_GOATBOW,MFLAG_CAOPEDOOR,1,40,13,2,9,0,0,0,0,35,MC_DEMON,RESIST_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,645,MAT_RETAIL
MT_RGOATBW,Fire Clan,Monsters\GoatBow\GoatB%c,Monsters\GoatBow\GoatB%c%i.WAV,Monsters\GoatBow\Red.TRN,128,1040,FALSE,FALSE,TRUE,12,8,16,6,20,0,3,1,1,1,1,1,10,14,12,40,50,AI_GOATBOW,MFLAG_SEARCH|MFLAG_CAOPEDOOR,2,45,13,3,11,0,0,0,0,35,MC_DEMON,RESIST_FIRE,IMMUNE_FIRE,3,0,822,MAT_RETAIL
MT_GGOATBW,Night Clan,Monsters\GoatBow\GoatB%c,Monsters\GoatBow\GoatB%c%i.WAV,Monsters\GoatBow\Gray.TRN,128,1040,FALSE,FALSE,TRUE,12,8,16,6,20,0,3,1,1,1,1,1,12,16,14,50,65,AI_GOATBOW,MFLAG_SEARCH|MFLAG_CAOPEDOOR,3,50,13,4,13,15,0,0,0,40,MC_DEMON,RESIST_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,1092,MAT_RETAIL
MT_NACID,Acid Beast,Monsters\Acid\Acid%c,Monsters\Acid\Acid%c%i.WAV,nullptr,128,716,TRUE,TRUE,FALSE,13,8,12,8,16,12,1,1,1,1,1,1,10,14,11,40,66,AI_ACID,0,0,40,8,4,12,25,8,0,0,30,MC_ANIMAL,IMMUNE_ACID,IMMUNE_MAGIC|IMMUNE_ACID,3,0,846,MAT_RETAIL
MT_RACID,Poison Spitter,Monsters\Acid\Acid%c,Monsters\Acid\Acid%c%i.WAV,Monsters\Acid\AcidBlk.TRN,128,716,TRUE,TRUE,TRUE,13,8,12,8,16,12,1,1,1,1,1,1,14,18,15,60,85,AI_ACID,0,1,45,8,4,16,25,8,0,0,30,MC_ANIMAL,IMMUNE_ACID,IMMUNE_MAGIC|IMMUNE_ACID,3,0,1248,MAT_RETAIL
MT_BACID,Pit Beast,Monsters\Acid\Acid%c,Monsters\Acid\Acid%c%i.WAV,Monsters\Acid\AcidB.TRN,128,716,TRUE,TRUE,TRUE,13,8,12,8,16,12,1,1,1,1,1,1,18,22,21,80,110,AI_ACID,0,2,55,8,8,18,35,8,0,0,35,MC_ANIMAL,RESIST_MAGIC|IMMUNE_ACID,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_ACID,3,0,2060,MAT_RETAIL
MT_XACID,Lava Maw,Monsters\Acid\Acid%c,Monsters\Acid\Acid%c%i.WAV,Monsters\Acid\AcidR.TRN,128,716,TRUE,TRUE,TRUE,13,8,12,8,16,12,1,1,1,1,1,1,22,27,25,100,150,AI_ACID,0,3,65,8,10,20,40,8,0,0,35,MC_ANIMAL,RESIST_MAGIC|IMMUNE_FIRE|IMMUNE_ACID,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_ACID,3,0,2940,MAT_RETAIL
MT_SKING,Skeleton King,Monsters\SKing\SKing%c,Monsters\SKing\SKing%c%i.WAV,Monsters\SkelAxe\White.TRN,160,1010,TRUE,TRUE,TRUE,8,6,16,6,16,6,2,1,1,1,1,2,6,6,9,140,140,AI_SKELKING,MFLAG_SEARCH|MFLAG_CAOPEDOOR,3,60,8,6,16,0,0,0,0,70,MC_UNDEAD,IMMUNE_MAGIC|RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_LIGHTNING|IMMUNE_NULL_40,7,T_UNIQ+UITEM_SKCROWN,570,MAT_NEVER
MT_CLEAVER,The Butcher,Monsters\FatC\FatC%c,Monsters\FatC\FatC%c%i.WAV,nullptr,128,980,FALSE,FALSE,FALSE,10,8,12,6,16,0,1,1,1,1,1,1,0,0,1,320,320,AI_CLEAVER,0,3,50,8,6,12,0,0,0,0,50,MC_DEMON,RESIST_FIRE|RESIST_LIGHTNING,RESIST_MAGIC|IMMUNE_FIRE|IMMUNE_LIGHTNING,3,T_UNIQ+UITEM_CLEAVER,710,MAT_NEVER
MT_FAT,Overlord,Monsters\Fat\Fat%c,Monsters\Fat\Fat%c%i.WAV,nullptr,128,1130,TRUE,FALSE,FALSE,8,10,15,6,16,10,4,1,1,1,1,1,8,12,10,60,80,AI_FAT,0,0,55,8,6,12,0,0,0,0,55,MC_DEMON,0,RESIST_FIRE,3,0,635,MAT_RETAIL
MT_MUDMAN,Mud Man,Monsters\Fat\Fat%c,Monsters\Fat\Fat%c%i.WAV,Monsters\Fat\Blue.TRN,128,1130,TRUE,FALSE,TRUE,8,10,15,6,16,10,4,1,1,1,1,1,13,17,14,100,125,AI_FAT,MFLAG_SEARCH,1,60,8,8,16,0,0,0,0,60,MC_DEMON,0,IMMUNE_LIGHTNING,3,0,1165,MAT_RETAIL
MT_TOAD,Toad Demon,Monsters\Fat\Fat%c,Monsters\Fat\Fat%c%i.WAV,Monsters\Fat\FatB.TRN,128,1130,TRUE,FALSE,TRUE,8,10,15,6,16,10,4,1,1,1,1,1,15,19,16,135,160,AI_FAT,MFLAG_SEARCH,2,70,8,8,16,40,0,8,20,65,MC_DEMON,IMMUNE_MAGIC,IMMUNE_MAGIC|RESIST_LIGHTNING,3,0,1380,MAT_RETAIL
MT_FLAYED,Flayed One,Monsters\Fat\Fat%c,Monsters\Fat\Fat%c%i.WAV,Monsters\Fat\FatF.TRN,128,1130,TRUE,FALSE,TRUE,8,10,15,6,16,10,4,1,1,1,1,1,19,23,20,160,200,AI_FAT,MFLAG_SEARCH,3,85,8,10,20,0,0,0,0,70,MC_DEMON,RESIST_MAGIC|IMMUNE_FIRE,IMMUNE_MAGIC|IMMUNE_FIRE,3,0,2058,MAT_RETAIL
MT_WYRM,Wyrm,Monsters\Worm\Worm%c,Monsters\Fat\Fat%c%i.WAV,nullptr,160,2420,FALSE,FALSE,FALSE,13,13,13,11,19,0,1,1,1,1,1,1,9,13,11,60,90,AI_SKELSD,0,0,40,8,4,10,0,0,0,0,25,MC_ANIMAL,RESIST_MAGIC,RESIST_MAGIC,3,0,660,MAT_NEVER
MT_CAVSLUG,Cave Slug,Monsters\Worm\Worm%c,Monsters\Fat\Fat%c%i.WAV,nullptr,160,2420,FALSE,FALSE,FALSE,13,13,13,11,19,0,1,1,1,1,1,1,11,15,13,75,110,AI_SKELSD,0,1,50,8,6,13,0,0,0,0,30,MC_ANIMAL,RESIST_MAGIC,RESIST_MAGIC,3,0,994,MAT_NEVER
MT_DVLWYRM,Devil Wyrm,Monsters\Worm\Worm%c,Monsters\Fat\Fat%c%i.WAV,nullptr,160,2420,FALSE,FALSE,FALSE,13,13,13,11,19,0,1,1,1,1,1,1,13,17,15,100,140,AI_SKELSD,0,2,55,8,8,16,0,0,0,0,30,MC_ANIMAL,RESIST_MAGIC|RESIST_FIRE,RESIST_MAGIC|RESIST_FIRE,3,0,1320,MAT_NEVER
